Question,Best Answer,Correct Answers,Incorrect Answers
"""Ghostbusters"" is a song written and recorded by Ray Parker Jr. as the theme to the film of the same name starring Bill Murray, Dan Aykroyd, Harold Ramis, and Ernie Hudson.Daniel Edward Aykroyd {'1': "", '2': "", '3': "", '4': ""} (born July 1, 1952) is a Canadian-American actor, comedian, producer, screenwriter, musician and businessman. He was an original member of the ""Not Ready for Prime Time Players"" on ""Saturday Night Live"" (1975–1979). Ghostbusters is a song written and recorded by Ray Parker Jr. as the theme song for a movie starring a Canadian-American actor who was an original member of the Not Ready for Prime Time Players on what show?",Saturday Night Live,Saturday Night Live,Ghostbusters is a song written and recorded by Ray Parker Jr. as the theme song for a movie starring a Canadian-American actor who was an original member of the Not Ready for Prime Time Players on Friends.
"Mom is a 2017 Indian thriller film directed by Ravi Udyawar. Akshaye Khanna and Nawazuddin Siddiqui play supporting roles in the film.Akshaye Khanna (born 28 March 1975) is an Indian film actor. Since then, he has featured in several critically and commercially acclaimed films, such as ""Border"" (1997), ""Taal"" (1999), ""Dil Chahta Hai"" (2001), ""Humraaz"" (2002), ""Hulchul"" (2004), ""Gandhi, My Father"" (2007) and ""Race"" (2008) amongst others, for which he has received two Filmfare Awards. Who directed the 2017 Indian thriller film starring two Filmfare award-winning actor from films such as ""Border"" (1997) and ""Gandhi, My Father"" (2007)?",Ravi Udyawar,Ravi Udyawar,"The 2017 thriller film ""Mom"" was directed by Vijay Ahir."
"Declan Patrick MacManus (born 25 August 1954), better known by his stage name Elvis Costello, is an English musician, singer-songwriter, and record producer.Zeeshan Hussain Zaidi (born August 26, 1974) is an American rock musician, multi-instrumentalist, and singer-songwriter living in New York City, USA. who is the eldest,Elvis Costello or Zeeshan Zaidi?",Elvis Costello,Elvis Costello,Zeeshan Zaidi is the eldest.
"Dennis Christopher George Potter (17 May 1935 – 7 June 1994) was an English television dramatist, screenwriter and journalist.Daniil Kharms (Russian: Дании́л Ива́нович Хармс ; 30 December [O.S. 17 December] 1905  – 2 February 1942) was an early Soviet-era surrealist and absurdist poet, writer and dramatist. Who was born first, Dennis Potter or Daniil Kharms?",Daniil Kharms,Daniil Kharms,Dennis Potter was born first.
"(These Sounds Fall Into My Mind)"" by Bucketheads and ""75, Brazil Street"" by Nicola Fasano versus Pat Rich, which itself samples ""Street Player"" by Chicago.Chicago is an American rock band formed in 1967 in Chicago, Illinois. In what year was the original performer of “Street Player”—the song sampled in “75, Brazil Street”—formed?",1967,1967,"The original performer of ""Street Player"" was formed much earlier, in 1950."
"Written by Doug Moench, and features the art of Thomas Grummett, Michael Manley, Vincent Giarrano, James Balent, Bret Blevins, Graham Nolan, Norm Breyfogle, Neal Adams, George Pérez, Stephen De Stefano, Tom Lyle, Gary Frank, David Taylor, Anton Furst.Thomas ""Tom"" Lyle (born November 2, 1953) is an American comics artist who is best known as for his work on ""Starman"" and ""Robin"" for DC Comics. Batman: Knight Gallery was a comic book that featured art from the artist best known for work on what two other comics?","""Starman"" and ""Robin""","""Starman"" and ""Robin""","Batman: Knight Gallery was a comic book that featured art from the artist best known for work on ""Superman"" and ""The Flash""."
"Lee Jin-ki (born (1989--) 14, 1989 ), better known by his stage name Onew, is a South Korean singer and actor. Born in Gwangmyeong, Gyeonggi-do, Onew was discovered at the 2006 S.M. Academy Casting and signed the contract with S.M Entertainment the day after his audition. He debuted as one of the lead vocalists of boy group Shinee in May 2008, who went on to become one of the best-selling artists in South Korea.Sonya Scarlet (born 2 April 1980) is the singer and lyricist of the Italian extreme gothic metal band Theatres des Vampires. Who was a better selling artist, Onew or Sonya Scarlet?",Onew,Onew,Sonya Scarlet's extreme gothic metal was a more niche market compared to Onew's mainstream success.
"The food menu offers also Australian cuisine themed food such as kangaroo burgers, steaks Australian Wild Boar Burgers, Barramundi Fish and Chips and homemade Meat pies and beer like Coopers, Victoria Bitter, Little Creatures Pale Ale and Bundaberg Rum, Bundaberg Ginger Beer.Little Creatures is an Australian brewing company based in Fremantle, Western Australia, originally established in 2000 by the original brewers of the Matilda Bay Brewing Company. Café Oz Australian Bar is an Australian themed pub and restaurant in France, the food menu offers also Australian cuisine themed food such as Little Creatures Pale Ale, from which Australian brewing company based in Fremantle, Western Australia, originally established in 2000, by the original brewers of the Matilda Bay Brewing Company?",Little Creatures,Little Creatures,Matilda Bay Brewing Company.
"Cupcakes Taste Like Violence is the second EP by American singer, songwriter, Jeffree Star.Jeffree Star (born Jeffrey Lynn Steininger on November 15, 1985) is an American singer-songwriter, make-up artist, fashion designer and model from Orange County, California. Cupcakes Taste Like Violence is the second EP by American singer, songwriter, Jeffree Star, an American singer-songwriter, make-up artist, fashion designer and model from Orange County, in which US state?",California,California,Jeffree Star is from California.
"No issue, lelo tissue (Urdu: ‎ ) was a Pakistani television advertisement campaign started by Jazz Pakistan, following the victory of Pakistan's cricket team in the 2017 ICC Champions Trophy Final.Jazz (Urdu: ‎ ) is the largest mobile network in Pakistan formed by the merger of Mobilink and Warid. Its Head Office is located in Islamabad, and the current CEO is Aamir Ibrahim. Where is the Head Office of the starter of the No issue, lelo tissue ad campaign?",Islamabad,Islamabad,The Head Office is in Lahore.
"Valentine's Day Soundtrack is the official soundtrack to the 2010 film ""Valentine's Day"", released on February 9, 2010 via Big Machine Records.Valentine's Day is a 2010 American romantic comedy film directed by Garry Marshall. What is the name of this 2010 American romantic comedy film directed by Garry Marshall, released February 9, 2010 via Big Machine Records?",Valentine's Day,Valentine's Day,The romantic film soundtrack's name is Valentine's Day.
"No Love Deep Web (stylized as NØ LØV∑ D∑∑P W∏B or simply NO LOVE DEEP WEB) is the second studio album by American group Death Grips. The group consists of rapper/vocalist MC Ride (Stefan Burnett), drummer/producer/songwriter Zach Hill, and recording engineer Andy Morin. What band consists of rapper/vocalist MC Ride (Stefan Burnett) who's second album is entitled No Love Deep Webb?",Death Grips,Death Grips,The band that has rapper/vocalist MC Ride (Stefan Burnett) and produced the second studio album No Love Deep Web is named Dead Poets.
"The band originally consisted of four members, known as Nazril Irham, Mohammad Kautsar Hikmat, Loekman Hakim, and David Kurnia Albert. The band consisted of lead vocalist Donald Cumming, guitarist Wade Oates, bassist Nick Zarin-Ackerman and drummer Erik Ratensperger. Did Noah and The Virgins have the same number of members and their start?",yes,yes,"No, Noah and The Virgins had a different number of members at their start."
"Warner wrote the screenplay for ""Codebreaker"", a film about Alan Turing.Alan Mathison Turing ( ; 23 June 1912 – 7 June 1954) was an English computer scientist, mathematician, logician, cryptanalyst, philosopher and theoretical biologist. Craig Warner wrote the screenplay ""Codebreaker"" about a computer scientist of what nationality?",English,English,"Craig Warner wrote the screenplay ""Codebreaker"" about a computer scientist of Australian nationality."
"Initially, the series starred Lisa Chappell and Bridie Carter as two main protagonists, with Sonia Todd, Jessica Napier, Rachael Carpani, Aaron Jeffery and Myles Pollard in leading roles.Bridie Carter (born 18 December 1970) is an Australian actress best known for her role as the main character of Tess Silverman McLeod on the television drama series ""McLeod's Daughters"". McLeod's Daughters is an Australian television drama program, created by Posie Graeme-Evans and Caroline Stanton, Initially, the series starred which Australian actress, best known for her role as the main character of Tess Silverman McLeod, on the television drama series ""McLeod's Daughters"",as one of two main protagonists?",Bridie Carter,Bridie Carter,"Initially, the series starred Jessica Napier as one of two main protagonists."
"Swiss Family Robinson is a 1960 American Adventure film starring John Mills, Dorothy McGuire, James MacArthur, Janet Munro, Tommy Kirk and Kevin Corcoran in a tale of a shipwrecked family building an island home, loosely based on the 1812 novel ""Der Schweizerische Robinson"" (literally, ""The Swiss Robinson"") by Johann David Wyss.Tonka is a 1958 Walt Disney Western adventure film about the US cavalry horse that survived the Battle of the Little Big Horn. What is the American adventure film of a shipwrecked family building an island home, Swiss Family Robinson or Tonka?",Swiss Family Robinson,Swiss Family Robinson,Tonka is the American adventure film of a shipwrecked family building an island home.
